name,model_name,backend_used,effective_clip_frames,effective_sampling_rate,input_resize,input_crop,stride_frames,bandwidth_mbps,network_delay_ms,packet_loss,queue_delay_ms,jpeg_quality,n_total_manifest_rows,n_evaluated_videos,n_skipped_videos,video_top1_accuracy,avg_confidence,n_gt_classes_in_eval,n_pred_classes_in_eval,n_chunks,n_effective_chunks,n_dropped_chunks,chunk_top1_accuracy,infer_avg_ms,infer_p95_ms,tx_avg_ms,first_result_ms,end_to_end_avg_ms,prediction_switch_rate_avg,run_wall_time_sec,run_wall_time_min,_score_acc,_score_latency,_score_stability,_score_drop,tradeoff_score
chunk_frames_8__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,6,182,182,4,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.5952911693120518,7,12,1009,1009,0,0.5777998017839445,10.152634687774544,12.714400000550077,61.905462168607535,74.91619867206609,72.05809685638208,0.1720453726684979,18.445407200000773,0.3074234533333462,1.0,0.9696056839016751,0.4076526552616529,1.0,0.9316469706966679
chunk_frames_8__input_resize_182__sampling_rate_12__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,12,182,182,4,8.0,0.0,0.0,0.0,80,20,20,0,0.65,0.6446782450050457,7,13,774,774,0,0.6098191214470284,10.124606847633071,12.905874997522904,62.12612544412145,73.1519406251522,72.25073229175452,0.1720588674066117,14.30143649999809,0.2383572749999681,1.0,0.9694196716015816,0.407526329987386,1.0,0.931578534479213
chunk_frames_8__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,12,182,182,8,8.0,20.0,0.0,0.0,80,20,20,0,0.65,0.6319019602632177,7,13,391,391,0,0.6112531969309463,10.021714833667032,13.458900000841822,62.201683883471865,93.26214562466194,92.22339871713888,0.1661052631578947,7.5244085000013,0.125406808333355,1.0,0.9501336995601245,0.4632584741204136,1.0,0.9313659572800786
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_50_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,50.0,0.0,0.0,80,20,20,0,0.65,0.7719167417708062,7,13,568,568,0,0.6161971830985915,9.704362852094356,11.928205000367598,61.980073310959504,124.74880265622778,121.68443616305386,0.1587470535999947,8.659611299997778,0.1443268549999629,1.0,0.9216855828994418,0.5321392358422359,1.0,0.929719598454056
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,8.0,20.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.679741681476264,11.82223000105296,30.990036655479752,62.614552656216254,60.7087345817446,0.160251196923991,8.5382924000005,0.1423048733333416,1.0,0.9805648357172202,0.5180588352936507,0.8085106382978723,0.9268263980743183
chunk_frames_16__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,16,6,182,182,8,8.0,20.0,0.0,0.0,80,20,20,0,0.65,0.5536631943734063,7,12,391,391,0,0.5652173913043478,11.348549360729075,14.209249999112217,124.1522188698849,156.29654125019005,155.50076823061397,0.1523347953216374,11.25585460000002,0.187597576666667,1.0,0.8890319140848113,0.592164875380608,1.0,0.9259260617635042
chunk_frames_8__input_resize_182__sampling_rate_6__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,6,182,182,4,8.0,20.0,0.0,0.0,80,20,20,0,0.65,0.5952911693120518,7,12,1009,1009,0,0.5777998017839445,10.114041030743506,12.778559999424028,61.905462168607535,94.91179867203172,92.01950319935104,0.1720453726684979,18.365974399999686,0.3060995733333281,1.0,0.9503305848017686,0.4076526552616529,1.0,0.9258644409666958
chunk_frames_8__input_resize_182__sampling_rate_12__stride_frames_4__bandwidth_mbps_8_0__network_delay_ms_20_0__packet_loss_0_0__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,12,182,182,4,8.0,20.0,0.0,0.0,80,20,20,0,0.65,0.6446782450050457,7,13,774,774,0,0.6098191214470284,10.173786175783208,12.676945000748669,62.12612544412145,93.29066562427616,92.29991161990466,0.1720588674066117,14.318578499998694,0.2386429749999782,1.0,0.9500598173016358,0.407526329987386,1.0,0.9257705781892293
chunk_frames_8__input_resize_182__sampling_rate_12__stride_frames_8__bandwidth_mbps_8_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,8,12,182,182,8,8.0,0.0,0.01,0.0,80,20,20,0,0.65,0.6323193674125233,7,13,391,385,6,0.6077922077922078,9.815492727279713,12.047119998169364,62.201683883471865,72.9538556247775,71.95101931007191,0.1669824561403508,7.320769499998278,0.1220128249999712,1.0,0.9697090799390605,0.4550470036080331,0.8723404255319149,0.923651466895713
chunk_frames_4__input_resize_182__sampling_rate_6__stride_frames_8__bandwidth_mbps_4_0__network_delay_ms_0_0__packet_loss_0_01__jpeg_quality_80,x3d_xs,pytorchvideo_hub,4,6,182,182,8,4.0,0.0,0.01,0.0,80,20,20,0,0.65,0.7653104647749333,7,13,568,559,9,0.6171735241502684,9.710890161003327,11.660600001050629,61.980073310959504,74.63419531246909,71.76887596154,0.160251196923991,8.622058699998888,0.1437009783333148,1.0,0.969884960888179,0.5180588352936507,0.8085106382978723,0.923622435625606
